kappa,num_experiments,num_steps,final_time,z_0,mean,var,spread_mean,shapiro,distribution
2,5000,5000,0.25,1.02j,0.000735636792534453,0.046400383749936665,-1.0835776720341529e-17,"ShapiroResult(statistic=0.8440625667572021, pvalue=0.0)",wrapcauchy
2,5000,5000,0.25,3j,0.00022639557532945078,0.0007301242987832552,4.440892098500626e-19,"ShapiroResult(statistic=0.9927273392677307, pvalue=2.6103569142116225e-15)"
1,5000,5000,0.25,1.02j,-0.0020489295149641205,0.050304190145404264,-3.996802888650563e-18,"ShapiroResult(statistic=0.8314753770828247, pvalue=0.0)",wrapcauchy
1,5000,5000,0.25,3j,-0.00017094062862044933,0.0005343499765762703,-3.2196467714129537e-19,"ShapiroResult(statistic=0.9919397234916687, pvalue=2.9520482581285536e-16)",johnsonsb
0.75,5000,5000,0.25,1.02j,0.0020528046621245584,0.05154234507583732,4.085620730620576e-18,"ShapiroResult(statistic=0.8283804655075073, pvalue=0.0)",wrapcauchy
0.75,5000,5000,0.25,3j,-0.00013808465112170353,0.0004751570222607724,-8.659739592076221e-19,"ShapiroResult(statistic=0.9928663969039917, pvalue=3.898948560386063e-15)",gennorm
0.6666666666666666,5000,5000,0.25,1.02j,-0.003008079680241626,0.05183768358505208,8.881784197001253e-18,"ShapiroResult(statistic=0.8270988464355469, pvalue=0.0)",wrapcauchy
0.6666666666666666,5000,5000,0.25,3j,-0.00015555176641473642,0.0004684142821877808,-1.3322676295501877e-19,"ShapiroResult(statistic=0.9920904636383057, pvalue=4.429016431882325e-16)",johnsonsb
0.5,5000,5000,0.25,1.02j,0.003688014507419325,0.05334514021472551,-7.105427357601002e-18,"ShapiroResult(statistic=0.8205792903900146, pvalue=0.0)",wrapcauchy
0.5,5000,5000,0.25,3j,-0.00036099113043793987,0.0004124140125402115,1.6653345369377348e-19,"ShapiroResult(statistic=0.9906585216522217, pvalue=1.1422214478305863e-17)",gennorm
0.4,5000,5000,0.25,1.02j,-0.0006107311079365949,0.05436379866832192,-2.4868995751603506e-18,"ShapiroResult(statistic=0.815783679485321, pvalue=0.0)",wrapcauchy
0.4,5000,5000,0.25,3j,-0.0002995728872956244,0.0003890846714319009,-3.774758283725532e-19,"ShapiroResult(statistic=0.9893516302108765, pvalue=5.626380162984891e-19)",gennorm
